Venue Id,Venue Name,Venue Latitude,Venue Longitude,Rating,Total Rating,Vicinity,Venue Category,Source
ChIJlSTt2sVHzDERfFT3Iz4KW6E,Batu Village Corner,3.2049336,101.67504,3.8,8,"42, Jalan Kampung Batu, Kampung Batu, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJy0bhv3JIzDERfKq9bCpFqx4,Big Onion Food Caterer,3.200582599999999,101.6777206,4.1,43,"1/2, LOT 430, BATU 2, Jalan Sultan Azlan Shah, Kuala Lumpur","restaurant,food,store",GoogleMap API
ChIJa0Ovn85HzDERYmDZ2anGvc0,Marrybrown Brem Mall,3.204622099999999,101.6671354,3.5,199,"Brem Mall, Kepong 11, GF, Jalan Besar Kepong, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJEwiZ3q9HzDER6lIT56Nd7iU,Rasamas,3.204307300000001,101.6757299,4.5,2,Malaysia,"restaurant,food",GoogleMap API
ChIJA6K1m85HzDERCqrYQ48fEhU,Secret Recipe Brem Mall,3.204779499999999,101.6674972,3.8,160,"G-09 ;Ground Floor, Brem Mall, Jalan Kepong, Jinjang Selatan","restaurant,food",GoogleMap API
ChIJZRPNIcxHzDER-3JTJ0BxQMs,Nelson's,3.2046979,101.6668064,,,"L1-K10, Brem Mall, Jalan Kepong, Wilayah Persekutuan Kuala Lumpur, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJUdatDtJHzDERniRhgFxMQ7o,yuan-HUB Jinjang,3.1999352,101.6656892,4,53,"Lot 1363-6 rujuk cn 318002 gerai, Jalan BAH, Jinjang, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJPXVA4zRGzDERyNzBSnuejaY,XiaGuan TuoCha Malaysia,3.2082847,101.6592424,,,"4, Jalan Besar Kepong, Jinjang Selatan, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJN3okADVGzDERdQ-9gPlwGgg,Ci Xin Vegetarian,3.2078528,101.6584888,3.8,5,"Taman Jinjang Baru, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJMaovx8RHzDERmxxfNr_xxCQ,Hup Kee Seafood Restaurant,3.2018195,101.6768927,4.1,197,"4A, Jalan Sultan Azlan Shah, Sentul, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJK0_HENFHzDERZcv8QoKCt4U,AbanggemokCKT,3.1976816,101.6690254,3.8,4,"Jalan Jambu Mawar, Jinjang Selatan, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJSRxhNdtHzDER0dQeXNSOq3k,Restoran Jom Qhawan,3.2008343,101.6769292,,,"4 1/, 838, Jalan Sultan Azlan Shah, Tijani 2, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJU0OXw69HzDERv1OCE4QbyEw,KFC (Tesco Extra Selayang),3.2213619,101.6709331,3.4,28,"F01, 1081, Jalan Ipoh, Taman Wahyu, Batu Caves","restaurant,food",GoogleMap API
ChIJFz_JL69HzDERuIOmMzLvgpE,KFC (Lotus's Selayang),3.220701099999999,101.6708654,2.7,45,"Lot No F1 1st Floor Tesco Extra Selayang No 1801 Jalan Ipoh Mukim Batu, Kuala Lumpur","meal_takeaway,restaurant,food",GoogleMap API
ChIJCxUkoExGzDERbVHzj9DOtI0,Fungates Superflow Soup Kitchen,3.2173443,101.6593728,4.3,28,"Jalan Jinjang Damai, Jinjang Utara, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJmxWjGBNIzDERbwDuontzy3w,Domino's Jalan Ipoh,3.1965579,101.6792221,3.9,259,"No. 698, 1-G-6, Kompleks Kantonmen Prima, Jalan Sultan Azlan Shah, Taman Bamboo, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJ-871s-pHzDERgRM3hrWlMj8,Barber N' Grill,3.210434,101.685117,4.2,17,"Cabin 18, Uptown Muda Lot 67586,, Jalan 2/12, Kampung Batu Muda, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJO-BywqhHzDERsigcTiMWOXc,Pure Heart Vegetarian (HQ) 心灵之素,3.225387199999999,101.6708523,4.4,880,"41, Jalan Seri Utara 1, Seri Utara Off Jalan Ipoh, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJRRGSdq9HzDERUCtXZRbwjHs,Fish Ball Mee KNL Restaurant,3.2262113,101.6708252,3.8,162,"59, Jalan Seri Utara 1, Sri Utara Business Park, Kuala Lumpur","restaurant,food",GoogleMap API
ChIJXahxmN5HzDER2nq8A53xhb8,Hainanese Chicken Rice,3.1954501,101.6798239,4.3,141,"653, 4,5 Mile, Jalan Sultan Azlan Shah, Taman Rainbow, Kuala Lumpur","restaurant,food",GoogleMap API
